key,name,other_names,annotation,notes
fernandovii,Ferando Séptimo,,Rey de España,Completar con más información
gallo,Pedro Leon Gallo,,"Pedro León Díaz Gallo (29 de junio de 1782 – 7 de febrero de 1852) fue un estadista argentino y sacerdote católico. Fue representante en elCongreso de Tucumán, que el 9 de julio de 1816 declaró la Independencia de Argentina.",
